t(s),Adsorbed H on surface 1,Total T surface 1
4562.217182602084,5.036315544212306e+18,300.0
4572.217182602084,5.034545648322591e+18,300.0
4582.217182602084,5.032784779996611e+18,300.0
4592.217182602084,5.0310328346013e+18,300.0
4602.217182602084,5.029289709372273e+18,300.0
4612.217182602084,5.02755530336895e+18,300.0
4622.217182602084,5.025829517431039e+18,300.0
4632.217182602084,5.024112254136313e+18,300.0
4642.217182602084,5.022403417759642e+18,300.0
4652.217182602084,5.020702914233235e+18,300.0
4662.217182602084,5.019010651108055e+18,300.0
4672.217182602084,5.017326537516345e+18,300.0
4682.217182602084,5.015650484135257e+18,300.0
4692.217182602084,5.013982403151516e+18,300.0
4702.217182602084,5.012322208227105e+18,300.0
4712.217182602084,5.010669814465923e+18,300.0
4722.217182602084,5.00902513838139e+18,300.0
4732.217182602084,5.007388097864961e+18,300.0
4742.217182602084,5.005758612155523e+18,300.0
4752.217182602084,5.004136601809645e+18,300.0
4762.217182602084,5.002521988672644e+18,300.0
4772.217182602084,5.000914695850463e+18,300.0
4782.217182602084,4.999314647682298e+18,300.0
4792.217182602084,4.997721769713985e+18,300.0
4802.217182602084,4.996135988672098e+18,300.0
4812.217182602084,4.994557232438754e+18,300.0
4822.217182602084,4.99298543002708e+18,300.0
4832.217182602084,4.991420511557338e+18,300.0
4842.217182602084,4.989862408233686e+18,300.0
4852.217182602084,4.988311052321543e+18,300.0
4862.217182602084,4.986766377125554e+18,300.0
4872.217182602084,4.985228316968121e+18,300.0
4882.217182602084,4.983696807168497e+18,300.0
4892.217182602084,4.982171784022411e+18,300.0
4902.217182602084,4.980653184782226e+18,300.0
4912.217182602084,4.979140947637593e+18,300.0
4922.217182602084,4.977635011696595e+18,300.0
4932.217182602084,4.976135316967377e+18,300.0
4942.217182602084,4.974641804340225e+18,300.0
4952.217182602084,4.9731544155701e+18,300.0
4962.217182602084,4.971673093259603e+18,300.0
4972.217182602084,4.970197780842361e+18,300.0
4982.217182602084,4.968728422566822e+18,300.0
4992.217182602084,4.967264963480445e+18,300.0
5002.217182602084,4.965807349414277e+18,300.0
5012.217182602084,4.964355526967903e+18,300.0
5022.217182602084,4.962909443494754e+18,300.0
5032.217182602084,4.961469047087776e+18,300.0
5042.217182602084,4.96003428656543e+18,300.0
5052.217182602084,4.958605111458039e+18,300.0
5062.217182602084,4.957181471994438e+18,300.0
5072.217182602084,4.955763319088957e+18,300.0
5082.217182602084,4.9543506043287e+18,300.0
5092.217182602084,4.952943279961113e+18,300.0
5102.217182602084,4.951541298881853e+18,300.0
5112.217182602084,4.950144614622934e+18,300.0
5122.217182602084,4.948753181341135e+18,300.0
5132.217182602084,4.947366953806684e+18,300.0
5142.217182602084,4.945985887392198e+18,300.0
5152.217182602084,4.944609938061863e+18,300.0
5162.217182602084,4.943239062360874e+18,300.0
5172.217182602084,4.941873217405098e+18,300.0
5182.217182602084,4.940512360870973e+18,300.0
5192.217182602084,4.939156450985634e+18,300.0
5202.217182602084,4.93780544651725e+18,300.0
5212.217182602084,4.936459306765582e+18,300.0
5222.217182602084,4.935117991552744e+18,300.0
5232.217182602084,4.933781461214164e+18,300.0
5242.217182602084,4.932449676589743e+18,300.0
5252.217182602084,4.931122599015207e+18,300.0
