x,t=1.00e+00s,t=3.00e+00s,t=5.00e+00s
4.747474747474748069e-01,3.925517804305677760e+00,7.925517804305422409e+00,1.192551780430524566e+01
4.646464646464646964e-01,3.896439138863376339e+00,7.896439138863116547e+00,1.189643913886294335e+01
4.848484848484848619e-01,3.955004591368221689e+00,7.955004591367965894e+00,1.195500459136778559e+01
4.747474747474748069e-01,3.925517804305677760e+00,7.925517804305418856e+00,1.192551780430524744e+01
4.949494949494949725e-01,3.984899500051009902e+00,7.984899500050751442e+00,1.198489950005058091e+01
4.848484848484848619e-01,3.955004591368220801e+00,7.955004591367966782e+00,1.195500459136778737e+01
5.050505050505050830e-01,4.015202530354041066e+00,8.015202530353780830e+00,1.201520253035360319e+01
4.949494949494949725e-01,3.984899500051009014e+00,7.984899500050754106e+00,1.198489950005057914e+01
5.151515151515152491e-01,4.045913682277311629e+00,8.045913682277053169e+00,1.204591368227688086e+01
5.050505050505050830e-01,4.015202530354040178e+00,8.015202530353786159e+00,1.201520253035360675e+01
5.252525252525253041e-01,4.077032955820829585e+00,8.077032955820572013e+00,1.207703295582039615e+01
5.151515151515152491e-01,4.045913682277310741e+00,8.045913682277053169e+00,1.204591368227688086e+01
5.353535353535353591e-01,4.108560350984586940e+00,8.108560350984333809e+00,1.210856035098415440e+01
5.252525252525253041e-01,4.077032955820827809e+00,8.077032955820568461e+00,1.207703295582039438e+01
5.454545454545455252e-01,4.140495867768589022e+00,8.140495867768333227e+00,1.214049586776815381e+01
5.353535353535353591e-01,4.108560350984589604e+00,8.108560350984332032e+00,1.210856035098415440e+01
5.555555555555555802e-01,4.172839506172833168e+00,8.172839506172572044e+00,1.217283950617239974e+01
5.454545454545455252e-01,4.140495867768589910e+00,8.140495867768335003e+00,1.214049586776815559e+01
5.656565656565657463e-01,4.205591266197319378e+00,8.205591266197064471e+00,1.220559126619688506e+01
5.555555555555555802e-01,4.172839506172834945e+00,8.172839506172579149e+00,1.217283950617240151e+01
5.757575757575758013e-01,4.238751147842052980e+00,8.238751147841794520e+00,1.223875114784161688e+01
5.656565656565657463e-01,4.205591266197320266e+00,8.205591266197062694e+00,1.220559126619688683e+01
5.858585858585858563e-01,4.272319151107025981e+00,8.272319151106763968e+00,1.227231915110659344e+01
5.757575757575758013e-01,4.238751147842051203e+00,8.238751147841789191e+00,1.223875114784161511e+01
5.959595959595960224e-01,4.306295275992241045e+00,8.306295275991981697e+00,1.230629527599180406e+01
5.858585858585858563e-01,4.272319151107024204e+00,8.272319151106767521e+00,1.227231915110659521e+01
6.060606060606060774e-01,4.340679522497698173e+00,8.340679522497440601e+00,1.234067952249726474e+01
5.959595959595960224e-01,4.306295275992241045e+00,8.306295275991983473e+00,1.230629527599180406e+01
6.161616161616162435e-01,4.375471890623400029e+00,8.375471890623142457e+00,1.237547189062296127e+01
6.060606060606060774e-01,4.340679522497699061e+00,8.340679522497444154e+00,1.234067952249726829e+01
6.262626262626262985e-01,4.410672380369343948e+00,8.410672380369087264e+00,1.241067238036892029e+01
6.161616161616162435e-01,4.375471890623400029e+00,8.375471890623142457e+00,1.237547189062295949e+01
6.363636363636364646e-01,4.446280991735531707e+00,8.446280991735273247e+00,1.244628099173509561e+01
6.262626262626262985e-01,4.410672380369343948e+00,8.410672380369087264e+00,1.241067238036891318e+01
6.464646464646465196e-01,4.482297724721962418e+00,8.482297724721705734e+00,1.248229772472152810e+01
6.363636363636364646e-01,4.446280991735531707e+00,8.446280991735269694e+00,1.244628099173509561e+01
6.565656565656565746e-01,4.518722579328635192e+00,8.518722579328379396e+00,1.251872257932820176e+01
6.464646464646465196e-01,4.482297724721960641e+00,8.482297724721703958e+00,1.248229772472152277e+01
6.666666666666667407e-01,4.555555555555550029e+00,8.555555555555292457e+00,1.255555555555511305e+01
6.565656565656565746e-01,4.518722579328636080e+00,8.518722579328374067e+00,1.251872257932819998e+01
6.767676767676767957e-01,4.592796653402708706e+00,8.592796653402450247e+00,1.259279665340227083e+01
6.666666666666667407e-01,4.555555555555550029e+00,8.555555555555290681e+00,1.255555555555511660e+01
6.868686868686869618e-01,4.630445872870111224e+00,8.630445872869847435e+00,1.263044587286967868e+01
6.767676767676767957e-01,4.592796653402708706e+00,8.592796653402453799e+00,1.259279665340227261e+01
6.969696969696970168e-01,4.668503213957754916e+00,8.668503213957492903e+00,1.266850321395731527e+01
6.868686868686869618e-01,4.630445872870108559e+00,8.630445872869854540e+00,1.263044587286967690e+01
7.070707070707071829e-01,4.706968676665640672e+00,8.706968676665381324e+00,1.270696867666520546e+01
6.969696969696970168e-01,4.668503213957754916e+00,8.668503213957498232e+00,1.266850321395732237e+01
7.171717171717172379e-01,4.745842260993770267e+00,8.745842260993512696e+00,1.274584226099333151e+01
7.070707070707071829e-01,4.706968676665641560e+00,8.706968676665381324e+00,1.270696867666521079e+01
7.272727272727272929e-01,4.785123966942144591e+00,8.785123966941885243e+00,1.278512396694170761e+01
